Linux 4.13.0-37-generic (darek) 	05/06/2018 	_x86_64_	(4 CPU)

09:55:55 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
10:05:59 PM     all      0.00      0.00      0.00      0.25      0.00     99.75
10:06:01 PM     all      0.00      0.00      0.13      0.00      0.00     99.87
10:06:03 PM     all      0.00      0.25      1.00      0.25      0.00     98.50
10:06:05 PM     all      0.13      0.00      0.00      0.00      0.00     99.87
10:06:07 PM     all      0.00      0.00      0.13      0.13      0.00     99.75
10:06:09 PM     all      0.00      0.13      0.13      0.25      0.00     99.50
10:06:11 PM     all      0.00      0.00      0.25      0.00      0.00     99.75
10:06:13 PM     all      0.25      0.13      0.88      0.75      0.00     98.00
10:06:15 PM     all      0.12      0.00      0.25      0.00      0.00     99.62
10:06:17 PM     all      0.12      0.12      0.00      0.12      0.00     99.63
10:06:19 PM     all      0.00      0.00      0.25      0.25      0.00     99.50
10:06:21 PM     all      0.00      0.00      0.13      0.00      0.00     99.87
10:06:23 PM     all      0.12      0.00      1.00      0.12      0.00     98.75
10:06:25 PM     all      0.00      0.13      0.13      0.25      0.00     99.50
10:06:27 PM     all      0.00      0.00      0.13      0.00      0.00     99.87
10:06:29 PM     all      0.00      0.00      0.00      0.13      0.00     99.87
10:06:31 PM     all      0.12      0.12      0.12      0.25      0.00     99.38
10:06:33 PM     all      0.00      0.00      0.88      0.00      0.00     99.12
10:06:35 PM     all      0.00      0.12      0.25      0.00      0.00     99.62
10:06:37 PM     all      0.00      0.00      0.12      0.38      0.00     99.50
10:06:39 PM     all      0.00      0.00      0.13      0.00      0.00     99.87
10:06:41 PM     all      0.00      0.00      0.13      0.00      0.00     99.87
10:06:43 PM     all      0.13      0.00      0.13      0.13      0.00     99.62
10:06:45 PM     all      0.00      0.12      0.88      0.12      0.00     98.88
10:06:47 PM     all      0.00      0.00      0.13      0.00      0.00     99.87
10:06:49 PM     all      0.12      0.12      0.12      0.38      0.00     99.25
10:06:51 PM     all      0.12      0.00      0.12      0.00      0.00     99.75
10:06:53 PM     all      0.38      0.00      0.13      0.00      0.00     99.50
10:06:55 PM     all      0.00      0.00      1.00      0.25      0.00     98.75
10:06:57 PM     all      0.00      0.00      0.13      0.00      0.00     99.87
10:06:59 PM     all      0.00      0.00      0.25      0.00      0.00     99.75
10:07:01 PM     all      0.00      0.00      0.00      0.38      0.00     99.62
10:07:03 PM     all      0.00      0.00      0.25      0.00      0.00     99.75
10:07:05 PM     all      0.50      0.00      0.88      0.00      0.00     98.62
10:07:07 PM     all      0.00      0.00      0.25      0.25      0.00     99.50
10:07:09 PM     all      0.00      0.00      0.13      0.00      0.00     99.87
10:07:11 PM     all      0.00      0.12      0.25      0.00      0.00     99.62
10:07:13 PM     all      0.00      0.00      0.25      1.25      0.00     98.50
10:07:15 PM     all      0.00      0.12      1.00      0.00      0.00     98.88
10:07:17 PM     all      0.13      0.00      0.13      0.13      0.00     99.62
10:07:19 PM     all      0.13      0.00      0.13      0.00      0.00     99.75
10:07:21 PM     all      0.00      0.00      0.13      0.00      0.00     99.87
10:07:23 PM     all      0.12      0.00      0.12      0.37      0.00     99.38
10:07:25 PM     all      0.00      0.00      1.37      0.00      0.00     98.63
10:07:27 PM     all      0.00      0.00      0.13      0.00      0.00     99.87
10:07:29 PM     all      0.00      0.00      0.13      0.63      0.00     99.25
10:07:31 PM     all      0.00      0.00      0.25      0.00      0.00     99.75
10:07:33 PM     all      0.00      0.00      0.13      0.38      0.00     99.50
10:07:35 PM     all      0.12      0.12      1.12      0.12      0.00     98.50
10:07:37 PM     all      0.00      0.12      0.12      0.00      0.00     99.75
10:07:39 PM     all      0.00      0.00      0.13      0.38      0.00     99.50
10:07:41 PM     all      0.00      0.00      0.13      0.00      0.00     99.87
10:07:43 PM     all      0.00      0.13      0.13      0.00      0.00     99.75
10:07:45 PM     all      0.13      0.00      0.88      0.38      0.00     98.62
10:07:47 PM     all      0.00      0.00      0.25      0.00      0.00     99.75
10:07:49 PM     all      0.12      0.12      0.12      0.12      0.00     99.50
10:07:51 PM     all      0.13      0.00      0.00      0.25      0.00     99.62
10:07:53 PM     all      0.13      0.00      0.13      0.00      0.00     99.75
10:07:55 PM     all      0.00      0.00      1.00      0.13      0.00     98.87
10:07:57 PM     all      0.00      0.13      0.13      0.25      0.00     99.50
10:07:59 PM     all      0.00      0.00      0.25      0.12      0.00     99.62
10:08:01 PM     all      0.00      0.00      0.25      0.00      0.00     99.75
10:08:03 PM     all      0.12      0.00      0.12      0.25      0.00     99.50
10:08:05 PM     all      0.00      0.00      0.13      0.00      0.00     99.87
10:08:07 PM     all      0.00      0.00      1.12      0.00      0.00     98.88
10:08:09 PM     all      0.12      0.00      0.12      0.38      0.00     99.38
10:08:11 PM     all      0.00      0.13      0.13      0.00      0.00     99.75
10:08:13 PM     all      0.13      0.00      0.13      0.63      0.00     99.12
10:08:15 PM     all      0.00      0.00      0.13      0.00      0.00     99.87
10:08:17 PM     all      0.00      0.00      1.00      0.38      0.00     98.62
10:08:19 PM     all      0.12      0.12      0.12      0.00      0.00     99.62
10:08:21 PM     all      0.00      0.00      0.25      0.00      0.00     99.75
10:08:23 PM     all      0.00      0.00      0.25      0.25      0.00     99.50
10:08:25 PM     all      0.00      0.00      0.25      0.00      0.00     99.75
10:08:27 PM     all      0.13      0.00      0.88      0.13      0.00     98.87
10:08:29 PM     all      0.13      0.00      0.00      0.25      0.00     99.62
10:08:31 PM     all      0.00      0.00      0.13      0.00      0.00     99.87
10:08:33 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
10:08:35 PM     all      0.00      0.00      0.25      0.38      0.00     99.38
10:08:37 PM     all      0.13      0.00      0.88      0.00      0.00     99.00
10:08:39 PM     all      0.00      0.00      0.25      0.00      0.00     99.75
10:08:41 PM     all      0.00      0.00      0.00      0.38      0.00     99.62
10:08:43 PM     all      0.12      0.12      0.00      0.00      0.00     99.75
